SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2020,Indiana,B10,32,20,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8,,
2020,Oklahoma,B12,31,19,108.2,93.4,0.8442,48.2,46.7,16.0,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1,,
2020,Utah St.,MWC,32,26,109.4,94.5,0.8435,51.8,46.4,18.2,17.5,30.7,22.4,36.3,26.8,53.3,44.9,32.9,32.3,67.5,1.2,,
2020,Auburn,SEC,31,25,111.1,96.1,0.8415,50.0,47.1,17.9,18.7,35.3,27.4,43.8,33.9,53.3,46.2,30.6,32.5,69.3,4.6,,
2020,Xavier,BE,32,19,106.4,92.1,0.8396,49.0,46.4,19.8,18.6,32.2,27.6,30.9,28.9,50.2,46.7,31.2,30.5,68.1,0.3,,
2020,Saint Mary's,WCC,33,25,114.0,98.8,0.8385,54.2,50.8,14.9,17.7,25.1,23.6,30.8,28.0,51.9,50.7,38.8,34.0,63.8,2.8,,
2020,Colorado,P12,32,21,108.9,94.4,0.8376,50.5,46.9,19.2,19.4,30.3,23.9,36.2,26.1,49.1,44.8,35.1,34.2,68.1,0.7,,
2020,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9,,
2020,Syracuse,ACC,32,18,113.5,98.6,0.8345,50.5,48.3,16.5,20.3,29.6,32.2,35.7,30.2,51.4,48.3,32.9,32.2,68.0,-2.7,,
2020,Stanford,P12,32,20,104.2,90.7,0.8315,53.5,45.6,20.7,22.5,22.1,27.8,31.0,31.8,52.1,46.3,37.3,29.6,68.1,-1.5,,
2020,North Carolina St.,ACC,32,20,110.6,96.5,0.8273,50.8,47.8,16.9,20.1,28.8,30.9,28.5,35.4,52.6,48.0,31.8,31.6,69.5,-0.5,,
2020,Cincinnati,Amer,30,20,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32.0,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2,,
2020,Richmond,A10,31,24,108.5,94.9,0.8249,53.5,47.7,15.6,19.9,22.6,26.3,27.8,30.2,53.0,49.1,36.2,30.5,69.0,1.2,,
2020,Mississippi St.,SEC,31,20,113.6,99.8,0.8155,51.5,48.1,20.6,17.1,37.0,28.3,39.5,31.6,51.9,48.8,33.6,31.2,66.1,-0.5,,
2020,Saint Louis,A10,30,23,106.6,93.8,0.8126,50.1,46.1,18.8,19.6,34.2,25.2,39.8,36.6,49.7,44.5,34.2,32.4,67.5,0.0,,
2020,Georgia Tech,ACC,30,17,103.6,91.3,0.8101,49.8,44.6,22.9,19.3,29.2,28.9,34.8,35.7,51.2,45.7,31.0,28.3,69.9,-1.9,,
2020,Arkansas,SEC,32,20,108.9,96.1,0.8084,50.9,47.3,15.9,22.1,21.5,31.4,42.5,40.9,51.5,50.5,33.4,27.2,71.0,-1.3,,
2020,Oklahoma St.,B12,32,18,107.2,94.7,0.8068,47.8,46.7,19.4,20.6,29.5,29.0,35.2,33.1,48.0,48.3,31.5,29.9,68.3,0.0,,
2020,Washington,P12,32,15,105.5,93.3,0.8047,50.4,44.1,21.3,19.3,27.4,31.8,37.9,31.4,51.4,42.4,32.5,31.2,69.6,-5.0,,
2020,Notre Dame,ACC,32,20,111.2,98.5,0.8006,50.4,47.5,14.2,16.8,26.9,28.1,25.0,19.7,49.4,45.8,34.5,33.7,68.1,-1.1,,
2020,Connecticut,Amer,31,19,108.6,96.3,0.8001,47.8,46.4,19.9,21.9,34.1,29.4,34.6,34.6,47.4,45.0,32.4,33.0,68.3,-2.2,,
2020,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30.0,31.4,30.0,36.2,44.9,48.7,32.1,31.7,73.0,-2.5,,
2020,USC,P12,31,22,103.6,91.9,0.799,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28.0,48.1,43.1,35.0,31.3,69.1,1.8,,
2020,Arizona St.,P12,31,20,106.1,94.4,0.7942,48.8,49.1,17.9,22.3,26.5,28.6,32.4,34.2,49.0,48.8,32.3,33.1,73.0,0.9,,
2020,Alabama,SEC,31,16,111.4,99.2,0.7915,52.2,47.9,19.1,18.1,29.7,31.0,36.9,35.8,52.1,48.4,34.9,31.2,74.7,-3.8,,
2020,South Carolina,SEC,31,18,105.5,94.0,0.7915,48.6,45.2,18.1,21.4,32.1,28.6,36.8,53.0,49.5,45.7,31.0,29.6,72.9,-2.4,,
2020,Tennessee,SEC,31,17,107.3,95.5,0.7914,48.8,45.9,20.5,19.6,30.5,30.1,37.3,35.3,49.9,44.0,31.3,33.1,65.1,-2.1,,
2020,Memphis,Amer,31,21,100.2,89.2,0.7909,49.7,41.2,22.3,20.2,30.0,29.4,39.9,35.0,50.0,40.7,32.9,28.0,73.0,0.0,,
